"film_id","title","name","category_id"
1,"Academy Dinosaur","Documentary",6
2,"Ace Goldfinger","Horror",11
3,"Adaptation Holes","Documentary",6
4,"Affair Prejudice","Horror",11
5,"African Egg","Family",8
6,"Agent Truman","Foreign",9
7,"Airplane Sierra","Comedy",5
8,"Airport Pollock","Horror",11
9,"Alabama Devil","Horror",11
10,"Aladdin Calendar","Sports",15
11,"Alamo Videotape","Foreign",9
12,"Alaska Phantom","Music",12
13,"Ali Forever","Horror",11
14,"Alice Fantasia","Classics",4
15,"Alien Center","Foreign",9
16,"Alley Evolution","Foreign",9
17,"Alone Trip","Music",12
18,"Alter Victory","Animation",2
19,"Amadeus Holy","Action",1
20,"Amelie Hellfighters","Music",12
21,"American Circus","Action",1
22,"Amistad Midsummer","New",13
23,"Anaconda Confessions","Animation",2
24,"Analyze Hoosiers","Horror",11
25,"Angels Life","New",13
26,"Annie Identity","Sci-Fi",14
27,"Anonymous Human","Sports",15
28,"Anthem Luke","Comedy",5
29,"Antitrust Tomatoes","Action",1
30,"Anything Savannah","Horror",11
31,"Apache Divine","Family",8
32,"Apocalypse Flamingos","New",13
33,"Apollo Teen","Drama",7
34,"Arabia Dogma","Horror",11
35,"Arachnophobia Rollercoaster","Horror",11
36,"Argonauts Town","Animation",2
37,"Arizona Bang","Classics",4
38,"Ark Ridgemont","Action",1
39,"Armageddon Lost","Sci-Fi",14
40,"Army Flintstones","Documentary",6
41,"Arsenic Independence","Travel",16
42,"Artist Coldblooded","Sports",15
43,"Atlantis Cause","Family",8
44,"Attacks Hate","Sci-Fi",14
45,"Attraction Newton","New",13
46,"Autumn Crow","Games",10
47,"Baby Hall","Foreign",9
48,"Backlash Undefeated","Children",3
49,"Badman Dawn","Sci-Fi",14
50,"Baked Cleopatra","Family",8
51,"Balloon Homeward","Music",12
52,"Ballroom Mockingbird","Foreign",9
53,"Bang Kwai","Family",8
54,"Banger Pinocchio","Music",12
55,"Barbarella Streetcar","Sci-Fi",14
56,"Barefoot Manchurian","Action",1
57,"Basic Easy","Travel",16
58,"Beach Heartbreakers","Documentary",6
59,"Bear Graceland","Children",3
60,"Beast Hunchback","Classics",4
61,"Beauty Grease","Drama",7
62,"Bed Highball","Documentary",6
63,"Bedazzled Married","Family",8
64,"Beethoven Exorcist","Drama",7
65,"Behavior Runaway","Horror",11
66,"Beneath Rush","Children",3
67,"Berets Agent","Action",1
68,"Betrayed Rear","Children",3
69,"Beverly Outlaw","Sci-Fi",14
70,"Bikini Borrowers","Animation",2
71,"Bilko Anonymous","Family",8
72,"Bill Others","Documentary",6
73,"Bingo Talented","Sci-Fi",14
74,"Birch Antitrust","Music",12
75,"Bird Independence","Travel",16
76,"Birdcage Casper","Music",12
77,"Birds Perdition","New",13
78,"Blackout Private","Animation",2
79,"Blade Polish","Drama",7
80,"Blanket Beverly","Family",8
81,"Blindness Gun","Sci-Fi",14
82,"Blood Argonauts","Family",8
83,"Blues Instinct","Family",8
84,"Boiled Dares","Travel",16
85,"Bonnie Holocaust","Documentary",6
86,"Boogie Amelie","Music",12
87,"Boondock Ballroom","Travel",16
88,"Born Spinal","Travel",16
89,"Borrowers Bedazzled","Animation",2
