"film_id","title","rental_count"
103,"Bucket Brotherhood","34"
738,"Rocketeer Mother","33"
767,"Scalawag Duck","32"
489,"Juggler Hardly","32"
382,"Grit Clockwork","32"
331,"Forward Temple","32"
730,"Ridgemont Submarine","32"
31,"Apache Divine","31"
973,"Wife Turn","31"
735,"Robbers Joon","31"
418,"Hobbit Alien","31"
621,"Network Peak","31"
753,"Rush Goodfellas","31"
369,"Goodfellas Salute","31"
1000,"Zorro Ark","31"
891,"Timberland Sky","31"
748,"Rugrats Shakespeare","30"
285,"English Bulworth","30"
869,"Suspects Quills","30"
789,"Shock Cabin","30"
563,"Massacre Usual","30"
127,"Cat Coneheads","30"
559,"Married Go","30"
609,"Muscle Bright","30"
702,"Pulp Beverly","30"
341,"Frost Head","30"
403,"Harry Idaho","30"
239,"Dogma Family","30"
450,"Idols Snatchers","30"
374,"Graffiti Love","30"
979,"Witches Panic","30"
109,"Butterfly Chocolat","30"
378,"Greatest North","29"
595,"Moon Bunch","29"
301,"Family Sweet","29"
849,"Storm Happiness","29"
73,"Bingo Talented","29"
875,"Talented Homicide","29"
945,"Virginian Pluto","29"
174,"Confidential Interview","29"
361,"Gleaming Jawbreaker","29"
86,"Boogie Amelie","29"
873,"Sweethearts Suspects","29"
893,"Titans Jerk","29"
284,"Enemy Odds","29"
941,"Videotape Arsenic","29"
220,"Deer Virginian","29"
951,"Voyage Legally","28"
295,"Expendable Stallion","28"
305,"Fatal Haunted","28"
911,"Trip Newton","28"
850,"Story Side","28"
358,"Gilmore Boiled","28"
159,"Closer Bang","28"
395,"Handicap Boondock","28"
745,"Roses Treasure","28"
356,"Giant Troopers","28"
764,"Saturday Lambs","28"
697,"Primary Glass","27"
200,"Curtain Videotape","27"
525,"Loathing Legally","27"
870,"Swarm Gold","27"
206,"Dancing Fever","27"
135,"Chance Resurrection","27"
367,"Goldmine Tycoon","27"
879,"Telegraph Voyage","27"
434,"Horror Reign","27"
698,"Princess Giant","27"
349,"Gangs Pride","27"
244,"Dorado Notting","27"
468,"Invasion Cyclone","27"
330,"Forrester Comancheros","27"
531,"Lose Inch","27"
638,"Operation Operation","27"
78,"Blackout Private","27"
625,"None Spiking","27"
897,"Torque Bound","27"
958,"Wardrobe Phantom","27"
603,"Movie Shakespeare","27"
521,"Lies Treatment","27"
715,"Range Moonwalker","27"
835,"Spy Mile","27"
114,"Camelot Vacation","27"
228,"Detective Vision","27"
460,"Innocent Usual","26"
471,"Island Exorcist","26"
167,"Coma Head","26"
572,"Metropolis Coma","26"
307,"Fellowship Autumn","26"
181,"Contact Anonymous","26"
838,"Stagecoach Armageddon","26"
391,"Half Outfield","26"
670,"Pelican Comforts","26"
773,"Seabiscuit Punk","26"
101,"Brotherhood Blanket","26"
890,"Tights Dawn","26"
554,"Malkovich Pet","26"
687,"Pocus Pulp","26"
445,"Hyde Doctor","26"
397,"Hanky October","26"
901,"Tracy Cider","26"
683,"Pity Bound","26"
12,"Alaska Phantom","26"
234,"Disturbing Scarface","26"
938,"Velvet Terminator","26"
970,"Westward Seabiscuit","26"
303,"Fantasy Troopers","26"
263,"Durham Panky","26"
154,"Clash Freddy","25"
309,"Feud Frogmen","25"
273,"Effect Gladiator","25"
760,"Samurai Lion","25"
162,"Clueless Bucket","25"
856,"Streetcar Intentions","25"
172,"Coneheads Smoochy","25"
245,"Double Wrath","25"
989,"Working Microcosmos","25"
902,"Trading Pinocchio","25"
55,"Barbarella Streetcar","25"
387,"Gun Bonnie","25"
247,"Downhill Enough","25"
288,"Escape Metropolis","25"
786,"Shepherd Midsummer","25"
644,"Oscar Gold","25"
880,"Telemark Heartbreakers","25"
571,"Metal Armageddon","25"
266,"Dynamite Tarzan","25"
319,"Fish Opus","25"
555,"Mallrats United","25"
895,"Tomorrow Hustler","25"
791,"Show Lord","25"
863,"Sun Confessions","25"
417,"Hills Neighbors","25"
545,"Madness Attacks","25"
624,"Nightmare Chill","25"
43,"Atlantis Cause","24"
650,"Pacific Amistad","24"
551,"Maiden Home","24"
865,"Sunrise League","24"
810,"Slums Duck","24"
11,"Alamo Videotape","24"
527,"Lola Agent","24"
790,"Shootist Superfly","24"
852,"Strangelove Desire","24"
119,"Caper Motions","24"
741,"Roman Punk","24"
166,"Color Philadelphia","24"
253,"Drifter Commandments","24"
491,"Jumping Wrath","24"
804,"Sleeping Suspects","24"
502,"Knock Warlock","24"
443,"Hurricane Affair","24"
35,"Arachnophobia Rollercoaster","24"
91,"Bound Cheaper","24"
433,"Horn Working","24"
366,"Goldfinger Sensibility","24"
476,"Jason Trap","24"
131,"Center Dinosaur","24"
388,"Gunfight Moon","24"
649,"Oz Liaisons","24"
45,"Attraction Newton","24"
586,"Mockingbird Hollywood","24"
966,"Wedding Apollo","24"
447,"Ice Crossing","24"
641,"Orange Grapes","24"
304,"Fargo Gandhi","24"
775,"Seattle Expecations","24"
130,"Celebrity Horn","24"
320,"Flamingos Connecticut","23"
4,"Affair Prejudice","23"
892,"Titanic Boondock","23"
976,"Wind Phantom","23"
676,"Philadelphia Wife","23"
1,"Academy Dinosaur","23"
995,"Yentl Idaho","23"
412,"Heavyweights Beast","23"
843,"Steel Santa","23"
327,"Fool Mockingbird","23"
914,"Trouble Date","23"
771,"Scorpion Apollo","23"
191,"Crooked Frogmen","23"
759,"Salute Apollo","23"
614,"Name Detective","23"
665,"Patton Interview","23"
915,"Truman Crazy","23"
270,"Earth Vision","23"
982,"Women Dorado","23"
961,"Wash Heavenly","23"
857,"Strictly Scarface","23"
645,"Others Soup","23"
334,"Freddy Storm","23"
504,"Kwai Homeward","23"
199,"Cupboard Sinners","23"
608,"Murder Antitrust","23"
122,"Carrie Bunch","23"
816,"Snowman Rollercoaster","23"
494,"Karate Moon","23"
117,"Candles Grapes","23"
437,"House Dynamite","23"
51,"Balloon Homeward","23"
10,"Aladdin Calendar","23"
646,"Outbreak Divine","23"
271,"Easy Gladiator","23"
353,"Gentlemen Stage","23"
814,"Snatch Slipper","22"
406,"Haunting Pianist","22"
54,"Banger Pinocchio","22"
823,"South Wait","22"
428,"Homicide Peach","22"
706,"Queen Luke","22"
18,"Alter Victory","22"
143,"Chill Luck","22"
79,"Blade Polish","22"
176,"Congeniality Quest","22"
59,"Bear Graceland","22"
267,"Eagles Panky","22"
772,"Sea Virgin","22"
972,"Whisperer Giant","22"
61,"Beauty Grease","22"
15,"Alien Center","22"
500,"Kiss Glory","22"
898,"Tourist Pelican","22"
949,"Volcano Texas","22"
314,"Fight Jawbreaker","22"
556,"Maltese Hope","22"
800,"Sinners Atlantis","22"
300,"Falcon Volume","22"
444,"Hustler Party","22"
89,"Borrowers Bedazzled","22"
252,"Dream Pickup","22"
21,"American Circus","22"
575,"Midsummer Groundhog","22"
782,"Shakespeare Saddle","22"
408,"Head Stranger","22"
415,"High Encino","22"
322,"Flatliners Killer","22"
518,"Liaisons Sweet","22"
985,"Wonderland Christmas","22"
651,"Packer Madigan","22"
142,"Chicken Hellfighters","22"
376,"Grapes Fury","22"
26,"Annie Identity","22"
25,"Angels Life","22"
193,"Crossroads Casualties","21"
242,"Doom Dancing","21"
164,"Coast Rainbow","21"
249,"Dracula Crystal","21"
235,"Divide Monster","21"
6,"Agent Truman","21"
637,"Open African","21"
981,"Wolves Desire","21"
602,"Mourning Purple","21"
274,"Egg Igby","21"
953,"Wait Cider","21"
416,"Highball Potter","21"
377,"Grease Youth","21"
596,"Moonshine Cabin","21"
833,"Splendor Patton","21"
317,"Fireball Philadelphia","21"
313,"Fidelity Devil","21"
677,"Pianist Outfield","21"
841,"Star Operation","21"
292,"Excitement Eve","21"
39,"Armageddon Lost","21"
100,"Brooklyn Desert","21"
69,"Beverly Outlaw","21"
19,"Amadeus Holy","21"
37,"Arizona Bang","21"
129,"Cause Date","21"
861,"Suit Walls","21"
112,"Calendar Gunfight","21"
920,"Unbreakable Karate","21"
930,"Vacation Boondock","21"
280,"Empire Malkovich","21"
755,"Sabrina Midnight","21"
807,"Sleuth Orient","21"
149,"Christmas Moonshine","21"
23,"Anaconda Confessions","21"
132,"Chainsaw Uptown","21"
514,"Lebowski Soldiers","21"
681,"Pirates Roxanne","21"
22,"Amistad Midsummer","21"
218,"Deceiver Betrayed","21"
354,"Ghost Groundhog","21"
67,"Berets Agent","21"
57,"Basic Easy","21"
138,"Chariots Conspiracy","21"
806,"Sleepy Japanese","21"
776,"Secret Groundhog","21"
255,"Driving Polish","21"
922,"Undefeated Dalmations","21"
49,"Badman Dawn","21"
846,"Sting Personal","21"
727,"Resurrection Silverado","21"
83,"Blues Instinct","21"
628,"Northwest Polish","20"
326,"Flying Hook","20"
845,"Stepmom Dream","20"
723,"Reign Gentlemen","20"
99,"Bringing Hysterical","20"
562,"Masked Bubble","20"
402,"Harper Dying","20"
467,"Intrigue Worst","20"
805,"Sleepless Monsoon","20"
409,"Heartbreakers Bright","20"
827,"Spice Sorority","20"
465,"Interview Liaisons","20"
578,"Million Ace","20"
680,"Pinocchio Simon","20"
778,"Secrets Paradise","20"
590,"Money Harold","20"
668,"Peak Forever","20"
579,"Minds Truman","20"
720,"Redemption Comforts","20"
496,"Kick Savannah","20"
501,"Kissing Dolls","20"
350,"Garden Island","20"
728,"Reunion Witches","20"
906,"Tramp Others","20"
694,"Prejudice Oleander","20"
140,"Cheaper Clyde","20"
147,"Chocolat Harry","20"
414,"Hellfighters Sierra","20"
851,"Straight Hours","20"
743,"Room Roman","20"
535,"Love Suicides","20"
993,"Wrong Behavior","20"
231,"Dinosaur Secretary","20"
733,"River Outlaw","20"
363,"Go Purple","20"
204,"Dalmations Sweden","20"
439,"Hunchback Impossible","20"
139,"Chasing Fight","20"
647,"Outfield Massacre","20"
484,"Jerk Paycheck","20"
486,"Jet Neighbors","20"
462,"Insider Arizona","20"
707,"Quest Mussolini","20"
345,"Gables Metropolis","19"
663,"Patient Sister","19"
160,"Club Graffiti","19"
344,"Fury Murder","19"
747,"Roxanne Rebel","19"
222,"Desert Poseidon","19"
115,"Campus Remember","19"
97,"Bride Intrigue","19"
948,"Voice Peach","19"
690,"Pond Seattle","19"
118,"Canyon Stock","19"
479,"Jedi Beneath","19"
734,"Road Roxanne","19"
436,"Hours Rage","19"
710,"Rage Games","19"
48,"Backlash Undefeated","19"
298,"Eyes Driving","19"
785,"Shawshank Bubble","19"
233,"Disciple Mother","19"
243,"Doors President","19"
370,"Gorgeous Bingo","19"
396,"Hanging Deep","19"
72,"Bill Others","19"
725,"Requiem Tycoon","19"
158,"Clones Pinocchio","19"
580,"Mine Titans","19"
912,"Trojan Tomorrow","19"
282,"Encounters Curtain","19"
269,"Earring Instinct","19"
631,"Novocaine Flight","19"
457,"Independence Hotel","19"
281,"Encino Elf","19"
302,"Fantasia Park","19"
864,"Sundance Invasion","19"
887,"Thief Pelican","19"
227,"Details Packer","19"
311,"Fiction Christmas","19"
619,"Neighbors Charade","19"
451,"Igby Maker","19"
560,"Mars Roman","19"
818,"Something Duck","19"
610,"Music Boondock","19"
616,"National Story","19"
150,"Cider Desire","19"
429,"Honey Ties","19"
212,"Darn Forrester","18"
936,"Vanishing Rocky","18"
383,"Groove Fiction","18"
17,"Alone Trip","18"
657,"Paradise Sabrina","18"
812,"Smoking Barbarella","18"
286,"Enough Raging","18"
768,"Scarface Bang","18"
254,"Driver Annie","18"
924,"Unforgiven Zoolander","18"
689,"Pollock Deliverance","18"
410,"Heaven Freedom","18"
8,"Airport Pollock","18"
432,"Hope Tootsie","18"
967,"Weekend Personal","18"
294,"Expecations Natural","18"
971,"Whale Bikini","18"
986,"Wonka Sea","18"
688,"Polish Brooklyn","18"
709,"Racer Egg","18"
116,"Candidate Perdition","18"
121,"Carol Texas","18"
463,"Instinct Airport","18"
583,"Mission Zoolander","18"
385,"Groundhog Uncut","18"
473,"Jacket Frisco","18"
329,"Forrest Sons","18"
346,"Galaxy Sweethearts","18"
251,"Dragonfly Strangers","18"
524,"Lion Uncut","18"
184,"Core Suit","18"
461,"Insects Stone","18"
90,"Boulevard Mob","18"
456,"Inch Jet","18"
56,"Barefoot Manchurian","18"
746,"Rouge Squad","18"
155,"Cleopatra Devil","18"
777,"Secretary Rouge","18"
724,"Remember Diary","18"
871,"Sweden Shining","18"
474,"Jade Bunch","18"
215,"Dawn Pond","18"
77,"Birds Perdition","18"
95,"Breakfast Goldfinger","17"
